"Time","ProcessId","ProcessStart","CpuSeconds","WorkingSetBytes","PeakWorkingSetBytes","ThreadCount","AvailablePhysicalBytes","SampleIsPartial"
"2026-09-07T15:25:25.4662363+08:00","43688","2026-09-07T14:56:21.0156945+08:00","23995.125","3262943232","3424223232","159","5041090560","True"
"2026-09-07T15:25:55.9045768+08:00","43688","2026-09-07T14:56:21.0156945+08:00","24291.859375","3265187840","3424223232","159","5151379456","True"
"2026-09-07T15:26:26.2876904+08:00","43688","2026-09-07T14:56:21.0156945+08:00","24566.5625","3220578304","3424223232","159","5242896384","True"
"2026-09-07T15:26:56.6325913+08:00","43688","2026-09-07T14:56:21.0156945+08:00","24800.515625","3224465408","3424223232","159","5208682496","True"
"2026-09-07T15:27:26.9327542+08:00","43688","2026-09-07T14:56:21.0156945+08:00","24966.171875","3220033536","3424223232","159","5148471296","True"
"2026-09-07T15:27:57.2827370+08:00","43688","2026-09-07T14:56:21.0156945+08:00","25130.21875","3220066304","3424223232","159","5307584512","True"
"2026-09-07T15:28:27.6081780+08:00","43688","2026-09-07T14:56:21.0156945+08:00","25299.296875","3220791296","3424223232","159","5343354880","True"
"2026-09-07T15:28:57.9189310+08:00","43688","2026-09-07T14:56:21.0156945+08:00","25461.375","3242323968","3424223232","159","5328695296","True"
"2026-09-07T15:29:28.2027388+08:00","43688","2026-09-07T14:56:21.0156945+08:00","25628.875","3220185088","3424223232","159","5118783488","True"
"2026-09-07T15:29:58.4681357+08:00","43688","2026-09-07T14:56:21.0156945+08:00","25798.640625","3240099840","3424223232","159","5312004096","True"
"2026-09-07T15:30:28.7717759+08:00","43688","2026-09-07T14:56:21.0156945+08:00","25964.28125","3224764416","3424223232","159","5288071168","True"
"2026-09-07T15:30:59.0769949+08:00","43688","2026-09-07T14:56:21.0156945+08:00","26131","3226796032","3424223232","159","5389475840","True"
"2026-09-07T15:31:29.3619911+08:00","43688","2026-09-07T14:56:21.0156945+08:00","26297.71875","2144370688","3424223232","159","6462996480","True"
"2026-09-07T15:31:59.9292770+08:00","43688","2026-09-07T14:56:21.0156945+08:00","26565.578125","2388430848","3424223232","159","6027579392","True"
