"Time","ProcessId","ProcessStart","CpuSeconds","WorkingSetBytes","PeakWorkingSetBytes","ThreadCount","AvailablePhysicalBytes","SampleIsPartial"
"2026-09-07T16:03:01.6107915+08:00","46852","2026-09-07T16:01:49.6826283+08:00","924.390625","3212025856","3321167872","166","5907193856","True"
"2026-09-07T16:03:32.5032534+08:00","46852","2026-09-07T16:01:49.6826283+08:00","1361.484375","3265232896","3356594176","166","5694832640","True"
"2026-09-07T16:04:03.2664207+08:00","46852","2026-09-07T16:01:49.6826283+08:00","1806.109375","3298959360","3396493312","164","6092361728","True"
"2026-09-07T16:04:34.0652860+08:00","46852","2026-09-07T16:01:49.6826283+08:00","2254.296875","3258404864","3400925184","163","5937754112","True"
"2026-09-07T16:05:04.7553275+08:00","46852","2026-09-07T16:01:49.6826283+08:00","2695.828125","3275907072","3403354112","163","5417783296","True"
"2026-09-07T16:05:35.5120881+08:00","46852","2026-09-07T16:01:49.6826283+08:00","3140.578125","3292721152","3403354112","167","5528481792","True"
"2026-09-07T16:06:06.3102426+08:00","46852","2026-09-07T16:01:49.6826283+08:00","3584.46875","3237883904","3404009472","166","5563625472","True"
"2026-09-07T16:06:37.0793296+08:00","46852","2026-09-07T16:01:49.6826283+08:00","4030.703125","3327791104","3404009472","165","5596663808","True"
"2026-09-07T16:07:07.8034212+08:00","46852","2026-09-07T16:01:49.6826283+08:00","4476.796875","3294035968","3404087296","166","5657100288","True"
"2026-09-07T16:07:38.5432570+08:00","46852","2026-09-07T16:01:49.6826283+08:00","4924.765625","3324596224","3416424448","164","5803294720","True"
"2026-09-07T16:08:09.2282422+08:00","46852","2026-09-07T16:01:49.6826283+08:00","5367.109375","3187634176","3416424448","164","5649678336","True"
"2026-09-07T16:08:39.9731979+08:00","46852","2026-09-07T16:01:49.6826283+08:00","5797.8125","3287494656","3416424448","163","5481496576","True"
"2026-09-07T16:09:10.7435031+08:00","46852","2026-09-07T16:01:49.6826283+08:00","6238.28125","3218755584","3416424448","164","5407424512","True"
